il,ilce,Bölge,ilkod,ilcekod,il_ilce
BURSA,GÜRSU,MARMARA,TUR016,TUR016003,"BURSA, GÜRSU"
BURSA,HARMANCIK,MARMARA,TUR016,TUR016004,"BURSA, HARMANCIK"
BURSA,İNEGÖL,MARMARA,TUR016,TUR016005,"BURSA, İNEGÖL"
BURSA,İZNİK,MARMARA,TUR016,TUR016006,"BURSA, İZNİK"
BURSA,KARACABEY,MARMARA,TUR016,TUR016007,"BURSA, KARACABEY"
BURSA,KELES,MARMARA,TUR016,TUR016008,"BURSA, KELES"
BURSA,KESTEL,MARMARA,TUR016,TUR016009,"BURSA, KESTEL"
BURSA,MUDANYA,MARMARA,TUR016,TUR016010,"BURSA, MUDANYA"
BURSA,MUSTAFAKEMALPAŞA,MARMARA,TUR016,TUR016011,"BURSA, MUSTAFAKEMALPAŞA"
BURSA,NİLÜFER,MARMARA,TUR016,TUR016012,"BURSA, NİLÜFER"
BURSA,ORHANELİ,MARMARA,TUR016,TUR016013,"BURSA, ORHANELİ"
BURSA,ORHANGAZİ,MARMARA,TUR016,TUR016014,"BURSA, ORHANGAZİ"
BURSA,OSMANGAZİ,MARMARA,TUR016,TUR016015,"BURSA, OSMANGAZİ"
BURSA,YENİŞEHİR,MARMARA,TUR016,TUR016016,"BURSA, YENİŞEHİR"
BURSA,YILDIRIM,MARMARA,TUR016,TUR016017,"BURSA, YILDIRIM"
ÇANAKKALE,AYVACIK,MARMARA,TUR017,TUR017001,"ÇANAKKALE, AYVACIK"
ÇANAKKALE,BAYRAMİÇ,MARMARA,TUR017,TUR017002,"ÇANAKKALE, BAYRAMİÇ"
ÇANAKKALE,BİGA,MARMARA,TUR017,TUR017003,"ÇANAKKALE, BİGA"
ÇANAKKALE,BOZCAADA,MARMARA,TUR017,TUR017004,"ÇANAKKALE, BOZCAADA"
ÇANAKKALE,ÇAN,MARMARA,TUR017,TUR017005,"ÇANAKKALE, ÇAN"
ÇANAKKALE,ECEABAT,MARMARA,TUR017,TUR017007,"ÇANAKKALE, ECEABAT"
ÇANAKKALE,EZİNE,MARMARA,TUR017,TUR017008,"ÇANAKKALE, EZİNE"
ÇANAKKALE,GELİBOLU,MARMARA,TUR017,TUR017009,"ÇANAKKALE, GELİBOLU"
ÇANAKKALE,GÖKÇEADA,MARMARA,TUR017,TUR017010,"ÇANAKKALE, GÖKÇEADA"
ÇANAKKALE,LAPSEKİ,MARMARA,TUR017,TUR017011,"ÇANAKKALE, LAPSEKİ"
ÇANAKKALE,ÇANAKKALE,MARMARA,TUR017,TUR017006,"ÇANAKKALE, ÇANAKKALE"
ÇANAKKALE,YENİCE,MARMARA,TUR017,TUR017012,"ÇANAKKALE, YENİCE"
ÇANKIRI,ATKARACALAR,İÇ ANADOLU,TUR018,TUR018001,"ÇANKIRI, ATKARACALAR"
ÇANKIRI,ÇERKEŞ,İÇ ANADOLU,TUR018,TUR018004,"ÇANKIRI, ÇERKEŞ"
ÇANKIRI,ELDİVAN,İÇ ANADOLU,TUR018,TUR018005,"ÇANKIRI, ELDİVAN"
ÇANKIRI,ILGAZ,İÇ ANADOLU,TUR018,TUR018006,"ÇANKIRI, ILGAZ"
ÇANKIRI,KIZILIRMAK,İÇ ANADOLU,TUR018,TUR018007,"ÇANKIRI, KIZILIRMAK"
ÇANKIRI,KORGUN,İÇ ANADOLU,TUR018,TUR018008,"ÇANKIRI, KORGUN"
ÇANKIRI,KURŞUNLU,İÇ ANADOLU,TUR018,TUR018009,"ÇANKIRI, KURŞUNLU"
ÇANKIRI,BAYRAMÖREN,İÇ ANADOLU,TUR018,TUR018002,"ÇANKIRI, BAYRAMÖREN"
ÇANKIRI,ÇANKIRI,İÇ ANADOLU,TUR018,TUR018003,"ÇANKIRI, ÇANKIRI"
ÇANKIRI,ORTA,İÇ ANADOLU,TUR018,TUR018010,"ÇANKIRI, ORTA"
ÇANKIRI,ŞABANÖZÜ,İÇ ANADOLU,TUR018,TUR018011,"ÇANKIRI, ŞABANÖZÜ"
ÇANKIRI,YAPRAKLI,İÇ ANADOLU,TUR018,TUR018012,"ÇANKIRI, YAPRAKLI"
ÇORUM,ALACA,KARADENİZ,TUR019,TUR019001,"ÇORUM, ALACA"
ÇORUM,BAYAT,KARADENİZ,TUR019,TUR019002,"ÇORUM, BAYAT"
ÇORUM,BOĞAZKALE,KARADENİZ,TUR019,TUR019003,"ÇORUM, BOĞAZKALE"
ÇORUM,DODURGA,KARADENİZ,TUR019,TUR019005,"ÇORUM, DODURGA"
ÇORUM,İSKİLİP,KARADENİZ,TUR019,TUR019006,"ÇORUM, İSKİLİP"
ÇORUM,KARGI,KARADENİZ,TUR019,TUR019007,"ÇORUM, KARGI"
ÇORUM,LAÇİN,KARADENİZ,TUR019,TUR019008,"ÇORUM, LAÇİN"
ÇORUM,MECİTÖZÜ,KARADENİZ,TUR019,TUR019009,"ÇORUM, MECİTÖZÜ"
